engine_number,, HEAD GASKET SET2,make,,year,notes,,HEAD GASKET SET,Piston,Engine Kits,Main Bearing Set,Full Gasket Set,Intake Valve,Exhaust Valve
EW1,8, HEAD GASKET SET EW1,Honda,|,1.5L EW1/D15A2 SOHC 8V L4 85-87 CRX HF,Honda|1.5L EW1/D15A2 SOHC 8V L4 85-87 CRX HF|EW1,|,Honda HEAD GASKET SET EW1,Honda PISTON EW1,Honda Engine Kits EW1,Honda Main Bearing Set EW1,Honda Full Gasket Set EW1,Honda Intake Valve EW1,Honda Exhaust Valve EW1
EW1,12, HEAD GASKET SET EW1,Honda,|,1.5L EW1/D15A2 SOHC 12V L4 84-87 CIVIC CRX,Honda|1.5L EW1/D15A2 SOHC 12V L4 84-87 CIVIC CRX|EW1,|,Honda HEAD GASKET SET EW1,Honda PISTON EW1,Honda Engine Kits EW1,Honda Main Bearing Set EW1,Honda Full Gasket Set EW1,Honda Intake Valve EW1,Honda Exhaust Valve EW1
EW3,, HEAD GASKET SET EW3,Honda,|,1.5L EW34/D15A3 SOHC 12V L4 85-87 CIVIC CRX SI,Honda|1.5L EW34/D15A3 SOHC 12V L4 85-87 CIVIC CRX SI|EW3,|,Honda HEAD GASKET SET EW3,Honda PISTON EW3,Honda Engine Kits EW3,Honda Main Bearing Set EW3,Honda Full Gasket Set EW3,Honda Intake Valve EW3,Honda Exhaust Valve EW3
D15B2,, HEAD GASKET SET D15B2,Honda,|,1.5L D15B1/2 SOHC 16V L4 88-91 CIVIC CRX,Honda|1.5L D15B1/2 SOHC 16V L4 88-91 CIVIC CRX|D15B2,|,Honda HEAD GASKET SET D15B2,Honda PISTON D15B2,Honda Engine Kits D15B2,Honda Main Bearing Set D15B2,Honda Full Gasket Set D15B2,Honda Intake Valve D15B2,Honda Exhaust Valve D15B2
D15B6,, HEAD GASKET SET D15B6,Honda,|,1.5L D15B6 SOHC 8V L4 88-91 CRX HF,Honda|1.5L D15B6 SOHC 8V L4 88-91 CRX HF|D15B6,|,Honda HEAD GASKET SET D15B6,Honda PISTON D15B6,Honda Engine Kits D15B6,Honda Main Bearing Set D15B6,Honda Full Gasket Set D15B6,Honda Intake Valve D15B6,Honda Exhaust Valve D15B6
D15B7,, HEAD GASKET SET D15B7,Honda,|,1.5L D15B7 SOHC 16V L4 92-95 CIVIC DX/LX,Honda|1.5L D15B7 SOHC 16V L4 92-95 CIVIC DX/LX|D15B7,|,Honda HEAD GASKET SET D15B7,Honda PISTON D15B7,Honda Engine Kits D15B7,Honda Main Bearing Set D15B7,Honda Full Gasket Set D15B7,Honda Intake Valve D15B7,Honda Exhaust Valve D15B7
D15B8,, HEAD GASKET SET D15B8,Honda,|,1.5L D15B8 SOHC 8V L4 92-95 CIVIC CX,Honda|1.5L D15B8 SOHC 8V L4 92-95 CIVIC CX|D15B8,|,Honda HEAD GASKET SET D15B8,Honda PISTON D15B8,Honda Engine Kits D15B8,Honda Main Bearing Set D15B8,Honda Full Gasket Set D15B8,Honda Intake Valve D15B8,Honda Exhaust Valve D15B8
D15Z1,, HEAD GASKET SET D15Z1,Honda,|,1.5L D15Z1 SOHC 16V L4 92-95 CIVIC VX,Honda|1.5L D15Z1 SOHC 16V L4 92-95 CIVIC VX|D15Z1,|,Honda HEAD GASKET SET D15Z1,Honda PISTON D15Z1,Honda Engine Kits D15Z1,Honda Main Bearing Set D15Z1,Honda Full Gasket Set D15Z1,Honda Intake Valve D15Z1,Honda Exhaust Valve D15Z1
L15A1,, HEAD GASKET SET L15A1,Honda,|,1.5L L15A1/7 SOHC 16V L4 07-13 FIT,Honda|1.5L L15A1/7 SOHC 16V L4 07-13 FIT|L15A1,|,Honda HEAD GASKET SET L15A1,Honda PISTON L15A1,Honda Engine Kits L15A1,Honda Main Bearing Set L15A1,Honda Full Gasket Set L15A1,Honda Intake Valve L15A1,Honda Exhaust Valve L15A1
L15B1,, HEAD GASKET SET L15B1,Honda,|,1.5L L15B1 SOHC 16V L4 15-19 FIT,Honda|1.5L L15B1 SOHC 16V L4 15-19 FIT|L15B1,|,Honda HEAD GASKET SET L15B1,Honda PISTON L15B1,Honda Engine Kits L15B1,Honda Main Bearing Set L15B1,Honda Full Gasket Set L15B1,Honda Intake Valve L15B1,Honda Exhaust Valve L15B1
